Date,Open,High,Low,Close,Adj Close,Volume
2018-07-27,80.970001,82.379997,80.809998,81.919998,81.083664,18220800
2018-07-30,82.129997,82.129997,80.709999,81.739998,80.905502,11282800
2018-07-31,81.639999,82.150002,81.440002,81.510002,80.677856,11716800
2018-08-01,80.889999,80.930000,80.220001,80.389999,79.569290,8936300
2018-08-02,79.889999,80.260002,79.449997,79.910004,79.094193,8364300
2018-08-03,79.970001,80.300003,79.629997,80.199997,79.381226,7811100
2018-08-06,80.250000,80.430000,79.739998,80.180000,79.361435,10041800
2018-08-07,80.910004,81.589996,80.309998,81.269997,80.440300,10698100
2018-08-08,81.019997,81.230003,80.349998,80.730003,79.905823,7275000
2018-08-09,80.730003,80.910004,80.110001,80.320000,79.500000,9826800
2018-08-10,79.510002,79.519997,78.860001,79.419998,79.419998,12954300
2018-08-13,79.449997,79.750000,78.430000,78.559998,78.559998,10308500
2018-08-14,78.989998,79.070000,78.080002,78.309998,78.309998,8005900
2018-08-15,77.779999,77.900002,76.510002,76.940002,76.940002,16307800
2018-08-16,77.279999,78.099998,77.199997,78.000000,78.000000,11519900
2018-08-17,78.339996,78.489998,77.800003,78.260002,78.260002,10178400
2018-08-20,78.260002,79.000000,78.169998,78.809998,78.809998,8152100
2018-08-21,79.050003,79.580002,78.669998,78.830002,78.830002,9192200
2018-08-22,79.110001,80.050003,79.019997,79.959999,79.959999,10098200
2018-08-23,79.559998,79.629997,78.900002,79.080002,79.080002,7203900
2018-08-24,79.519997,80.050003,79.419998,79.620003,79.620003,6545200
2018-08-27,79.910004,80.470001,79.860001,80.400002,80.400002,6671900
2018-08-28,80.580002,80.820000,80.199997,80.279999,80.279999,8823400
2018-08-29,80.440002,81.040001,80.099998,80.860001,80.860001,8004800
2018-08-30,80.449997,80.779999,80.120003,80.510002,80.510002,7450900
2018-08-31,80.239998,80.459999,79.769997,80.169998,80.169998,10700000
2018-09-04,80.410004,80.690002,79.809998,80.290001,80.290001,8855000
2018-09-05,79.900002,81.430000,79.599998,81.360001,81.360001,13878400
2018-09-06,81.110001,81.639999,80.339996,80.459999,80.459999,13320600
2018-09-07,80.150002,81.930000,79.820000,81.830002,81.830002,16417800
2018-09-10,82.239998,82.739998,81.660004,81.709999,81.709999,10817900
2018-09-11,81.959999,83.190002,81.629997,82.860001,82.860001,11891900
2018-09-12,83.250000,83.779999,82.870003,83.129997,83.129997,11556300
2018-09-13,83.150002,83.250000,82.010002,82.320000,82.320000,11162700
2018-09-14,82.419998,83.150002,82.269997,82.919998,82.919998,9442600
2018-09-17,83.000000,83.610001,82.989998,83.410004,83.410004,8403300
2018-09-18,83.900002,84.129997,83.449997,83.629997,83.629997,9219900
2018-09-19,83.639999,84.769997,83.639999,84.629997,84.629997,10413600
2018-09-20,84.860001,85.339996,84.540001,84.820000,84.820000,11198200
2018-09-21,85.010002,85.430000,84.519997,85.169998,85.169998,26639400
2018-09-24,85.790001,87.089996,85.720001,86.599998,86.599998,13549500
2018-09-25,87.029999,87.360001,86.370003,86.500000,86.500000,12200700
2018-09-26,86.019997,86.500000,85.690002,85.779999,85.779999,10275500
2018-09-27,86.089996,86.379997,85.589996,85.769997,85.769997,7895400
2018-09-28,85.250000,85.930000,84.989998,85.019997,85.019997,9884900
2018-10-01,85.349998,86.029999,85.260002,85.809998,85.809998,8566900
2018-10-02,85.800003,86.669998,85.620003,86.459999,86.459999,8453100
2018-10-03,86.510002,86.889999,85.980003,86.150002,86.150002,10206700
2018-10-04,85.500000,86.080002,85.250000,85.580002,85.580002,10204600
2018-10-05,85.309998,85.699997,84.930000,85.339996,85.339996,9217400
2018-10-08,84.790001,86.309998,84.650002,86.129997,86.129997,13242400
2018-10-09,86.379997,86.879997,85.739998,86.510002,86.510002,10177900
2018-10-10,86.730003,86.820000,84.500000,84.519997,84.519997,16573400
2018-10-11,83.940002,84.169998,81.169998,81.599998,81.599998,20320100
2018-10-12,82.129997,82.239998,80.269997,81.379997,81.379997,15216300
2018-10-15,81.379997,81.739998,80.820000,80.820000,80.820000,10558800
2018-10-16,80.510002,81.269997,80.010002,81.199997,81.199997,9781800
2018-10-17,80.940002,81.519997,80.339996,81.500000,81.500000,12247700
2018-10-18,81.199997,82.470001,81.199997,81.849998,81.849998,17448600
2018-10-19,81.660004,82.459999,81.510002,81.970001,81.970001,12098700
2018-10-22,82.000000,82.180000,80.639999,81.150002,81.150002,9474100
2018-10-23,80.059998,80.459999,78.720001,79.839996,79.839996,15465100
2018-10-24,80.129997,80.260002,77.550003,77.620003,77.620003,16085700
2018-10-25,78.489998,79.050003,77.739998,78.309998,78.309998,12315500
2018-10-26,77.870003,78.410004,76.959999,77.529999,77.529999,18160100
